date,sku_id,brand_id,category,segment_id,units_sold,seasonality_mult,event_effect
2022-02-10,WS-CI-001,WS,Cookware,SEG-07,60,1.0,2.115
2022-02-11,WS-CI-001,WS,Cookware,SEG-01,79,1.0,2.484
2022-02-12,WS-CI-001,WS,Cookware,SEG-02,120,1.0,2.974
2022-02-13,WS-CI-001,WS,Cookware,SEG-03,136,1.0,3.627
2022-02-14,WS-CI-001,WS,Cookware,SEG-01,65,1.0,2.39
2022-02-15,WS-CI-001,WS,Cookware,SEG-03,23,1.0,0.805
2022-02-16,WS-CI-001,WS,Cookware,SEG-01,30,1.0,0.921
2022-02-17,WS-CI-001,WS,Cookware,SEG-03,28,1.0,0.959
2022-02-18,WS-CI-001,WS,Cookware,SEG-06,29,1.0,1.0
2022-02-19,WS-CI-001,WS,Cookware,SEG-04,40,1.0,1.0
2022-02-20,WS-CI-001,WS,Cookware,SEG-04,31,1.0,1.0
2022-02-21,WS-CI-001,WS,Cookware,SEG-02,38,1.0,1.0
2022-02-22,WS-CI-001,WS,Cookware,SEG-03,32,1.0,1.0
2022-02-23,WS-CI-001,WS,Cookware,SEG-10,26,1.0,1.0
2022-02-24,WS-CI-001,WS,Cookware,SEG-06,23,1.0,1.0
2022-02-25,WS-CI-001,WS,Cookware,SEG-06,31,1.0,1.0
2022-02-26,WS-CI-001,WS,Cookware,SEG-02,38,1.0,1.0
2022-02-27,WS-CI-001,WS,Cookware,SEG-07,31,1.0,1.0
2022-02-28,WS-CI-001,WS,Cookware,SEG-02,30,1.0,1.0
2022-03-01,WS-CI-001,WS,Cookware,SEG-04,27,1.0,1.0
2022-03-02,WS-CI-001,WS,Cookware,SEG-10,27,1.0,1.0
2022-03-03,WS-CI-001,WS,Cookware,SEG-06,29,1.0,1.0
2022-03-04,WS-CI-001,WS,Cookware,SEG-05,30,1.0,1.0
2022-03-05,WS-CI-001,WS,Cookware,SEG-07,36,1.0,1.0
2022-03-06,WS-CI-001,WS,Cookware,SEG-08,36,1.0,1.0
2022-03-07,WS-CI-001,WS,Cookware,SEG-08,28,1.0,1.0
2022-03-08,WS-CI-001,WS,Cookware,SEG-02,29,1.0,1.0
2022-03-09,WS-CI-001,WS,Cookware,SEG-01,27,1.0,1.0
2022-03-10,WS-CI-001,WS,Cookware,SEG-03,33,1.0,1.0
2022-03-11,WS-CI-001,WS,Cookware,SEG-03,35,1.0,1.0
2022-03-12,WS-CI-001,WS,Cookware,SEG-02,42,1.0,1.0
2022-03-13,WS-CI-001,WS,Cookware,SEG-10,36,1.0,1.0
2022-03-14,WS-CI-001,WS,Cookware,SEG-09,30,1.0,1.0
2022-03-15,WS-CI-001,WS,Cookware,SEG-03,31,1.0,1.0
2022-03-16,WS-CI-001,WS,Cookware,SEG-06,26,1.0,1.0
2022-03-17,WS-CI-001,WS,Cookware,SEG-04,30,1.0,1.0
2022-03-18,WS-CI-001,WS,Cookware,SEG-09,32,1.0,1.0
2022-03-19,WS-CI-001,WS,Cookware,SEG-04,38,1.0,1.0
2022-03-20,WS-CI-001,WS,Cookware,SEG-03,33,1.0,1.0
2022-03-21,WS-CI-001,WS,Cookware,SEG-03,28,1.0,1.0
2022-03-22,WS-CI-001,WS,Cookware,SEG-05,25,1.0,1.0
2022-03-23,WS-CI-001,WS,Cookware,SEG-03,28,1.0,1.0
2022-03-24,WS-CI-001,WS,Cookware,SEG-06,31,1.0,1.0
2022-03-25,WS-CI-001,WS,Cookware,SEG-09,33,1.0,1.0
2022-03-26,WS-CI-001,WS,Cookware,SEG-04,40,1.0,1.0
2022-03-27,WS-CI-001,WS,Cookware,SEG-02,36,1.0,1.0
2022-03-28,WS-CI-001,WS,Cookware,SEG-10,28,1.0,1.0
2022-03-29,WS-CI-001,WS,Cookware,SEG-05,29,1.0,1.0
2022-03-30,WS-CI-001,WS,Cookware,SEG-01,28,1.0,1.0
2022-03-31,WS-CI-001,WS,Cookware,SEG-01,25,1.0,1.027
2022-04-01,WS-CI-001,WS,Cookware,SEG-01,33,1.0,1.03
2022-04-02,WS-CI-001,WS,Cookware,SEG-06,37,1.0,1.033
2022-04-03,WS-CI-001,WS,Cookware,SEG-08,36,1.0,1.036
2022-04-04,WS-CI-001,WS,Cookware,SEG-04,30,1.0,1.039
2022-04-05,WS-CI-001,WS,Cookware,SEG-01,28,1.0,1.043
2022-04-06,WS-CI-001,WS,Cookware,SEG-04,28,1.0,1.047
2022-04-07,WS-CI-001,WS,Cookware,SEG-10,29,1.0,1.051
2022-04-08,WS-CI-001,WS,Cookware,SEG-05,38,1.0,1.056
2022-04-09,WS-CI-001,WS,Cookware,SEG-10,43,1.0,1.061
2022-04-10,WS-CI-001,WS,Cookware,SEG-09,36,1.0,1.067
2022-04-11,WS-CI-001,WS,Cookware,SEG-01,31,1.0,1.073
2022-04-12,WS-CI-001,WS,Cookware,SEG-07,30,1.0,1.08
2022-04-13,WS-CI-001,WS,Cookware,SEG-07,31,1.0,1.087
2022-04-14,WS-CI-001,WS,Cookware,SEG-05,30,1.0,1.095
2022-04-15,WS-CI-001,WS,Cookware,SEG-03,36,1.0,1.104
2022-04-16,WS-CI-001,WS,Cookware,SEG-06,50,1.0,1.114
2022-04-17,WS-CI-001,WS,Cookware,SEG-01,40,1.0,1.152
2022-04-18,WS-CI-001,WS,Cookware,SEG-04,40,1.0,1.169
2022-04-19,WS-CI-001,WS,Cookware,SEG-04,35,1.0,1.189
2022-04-20,WS-CI-001,WS,Cookware,SEG-10,37,1.0,1.211
2022-04-21,WS-CI-001,WS,Cookware,SEG-09,33,1.0,1.237
2022-04-22,WS-CI-001,WS,Cookware,SEG-03,41,1.0,1.265
2022-04-23,WS-CI-001,WS,Cookware,SEG-05,49,1.0,1.298
2022-04-24,WS-CI-001,WS,Cookware,SEG-02,52,1.0,1.336
2022-04-25,WS-CI-001,WS,Cookware,SEG-09,40,1.0,1.38
2022-04-26,WS-CI-001,WS,Cookware,SEG-09,41,1.0,1.43
2022-04-27,WS-CI-001,WS,Cookware,SEG-03,42,1.0,1.487
2022-04-28,WS-CI-001,WS,Cookware,SEG-06,44,1.0,1.554
2022-04-29,WS-CI-001,WS,Cookware,SEG-06,59,1.0,1.632
2022-04-30,WS-CI-001,WS,Cookware,SEG-02,68,1.0,1.722
2022-05-01,WS-CI-001,WS,Cookware,SEG-08,70,1.0,1.828
2022-05-02,WS-CI-001,WS,Cookware,SEG-05,56,1.0,1.951
2022-05-03,WS-CI-001,WS,Cookware,SEG-08,53,1.0,2.095
2022-05-04,WS-CI-001,WS,Cookware,SEG-05,65,1.0,2.264
2022-05-05,WS-CI-001,WS,Cookware,SEG-01,73,1.0,2.464
2022-05-06,WS-CI-001,WS,Cookware,SEG-03,91,1.0,2.699
2022-05-07,WS-CI-001,WS,Cookware,SEG-01,113,1.0,2.976
2022-05-08,WS-CI-001,WS,Cookware,SEG-10,134,1.0,3.305
2022-05-09,WS-CI-001,WS,Cookware,SEG-09,47,1.0,1.726
2022-05-10,WS-CI-001,WS,Cookware,SEG-08,46,1.0,1.883
2022-05-11,WS-CI-001,WS,Cookware,SEG-03,58,1.0,2.011
2022-05-12,WS-CI-001,WS,Cookware,SEG-01,65,1.0,2.149
2022-05-13,WS-CI-001,WS,Cookware,SEG-09,77,1.0,2.256
2022-05-14,WS-CI-001,WS,Cookware,SEG-10,90,1.0,2.372
2022-05-15,WS-CI-001,WS,Cookware,SEG-01,94,1.0,2.5
2022-05-16,WS-CI-001,WS,Cookware,SEG-05,25,1.0,0.74
2022-05-17,WS-CI-001,WS,Cookware,SEG-01,25,1.0,0.775
2022-05-18,WS-CI-001,WS,Cookware,SEG-07,19,1.0,0.805
2022-05-19,WS-CI-001,WS,Cookware,SEG-08,23,1.0,0.831
2022-05-20,WS-CI-001,WS,Cookware,SEG-02,27,1.0,0.853
2022-05-21,WS-CI-001,WS,Cookware,SEG-05,38,1.0,0.873
2022-05-22,WS-CI-001,WS,Cookware,SEG-05,26,1.0,0.89
2022-05-23,WS-CI-001,WS,Cookware,SEG-03,28,1.0,0.904
2022-05-24,WS-CI-001,WS,Cookware,SEG-09,24,1.0,0.917
2022-05-25,WS-CI-001,WS,Cookware,SEG-04,28,1.0,0.928
2022-05-26,WS-CI-001,WS,Cookware,SEG-02,30,1.0,0.938
2022-05-27,WS-CI-001,WS,Cookware,SEG-05,32,1.0,0.946
2022-05-28,WS-CI-001,WS,Cookware,SEG-07,32,1.0,0.953
2022-05-29,WS-CI-001,WS,Cookware,SEG-02,33,1.0,0.959
2022-05-30,WS-CI-001,WS,Cookware,SEG-03,29,1.0,1.0
2022-05-31,WS-CI-001,WS,Cookware,SEG-10,24,1.0,1.0
2022-06-01,WS-CI-001,WS,Cookware,SEG-06,29,1.0,1.0
2022-06-02,WS-CI-001,WS,Cookware,SEG-04,25,1.0,1.0
2022-06-03,WS-CI-001,WS,Cookware,SEG-05,38,1.0,1.0
2022-06-04,WS-CI-001,WS,Cookware,SEG-02,45,1.0,1.0
2022-06-05,WS-CI-001,WS,Cookware,SEG-02,35,1.0,1.0
2022-06-06,WS-CI-001,WS,Cookware,SEG-03,31,1.0,1.0
2022-06-07,WS-CI-001,WS,Cookware,SEG-06,27,1.0,1.0
2022-06-08,WS-CI-001,WS,Cookware,SEG-02,29,1.0,1.0
2022-06-09,WS-CI-001,WS,Cookware,SEG-02,31,1.0,1.0
2022-06-10,WS-CI-001,WS,Cookware,SEG-01,34,1.0,1.0
2022-06-11,WS-CI-001,WS,Cookware,SEG-06,40,1.0,1.0
2022-06-12,WS-CI-001,WS,Cookware,SEG-02,34,1.0,1.0
2022-06-13,WS-CI-001,WS,Cookware,SEG-09,31,1.0,1.0
2022-06-14,WS-CI-001,WS,Cookware,SEG-09,27,1.0,1.0
2022-06-15,WS-CI-001,WS,Cookware,SEG-01,25,1.0,1.0
2022-06-16,WS-CI-001,WS,Cookware,SEG-03,28,1.0,1.0
2022-06-17,WS-CI-001,WS,Cookware,SEG-07,32,1.0,1.0
2022-06-18,WS-CI-001,WS,Cookware,SEG-02,37,1.0,1.0
2022-06-19,WS-CI-001,WS,Cookware,SEG-02,33,1.0,1.0
2022-06-20,WS-CI-001,WS,Cookware,SEG-10,30,1.0,1.0
2022-06-21,WS-CI-001,WS,Cookware,SEG-05,25,1.0,1.0
2022-06-22,WS-CI-001,WS,Cookware,SEG-04,26,1.0,1.0
2022-06-23,WS-CI-001,WS,Cookware,SEG-08,31,1.0,1.0
2022-06-24,WS-CI-001,WS,Cookware,SEG-08,35,1.0,1.0
2022-06-25,WS-CI-001,WS,Cookware,SEG-02,36,1.0,1.0
2022-06-26,WS-CI-001,WS,Cookware,SEG-01,37,1.0,1.0
2022-06-27,WS-CI-001,WS,Cookware,SEG-04,30,1.0,1.0
2022-06-28,WS-CI-001,WS,Cookware,SEG-04,31,1.0,1.0
2022-06-29,WS-CI-001,WS,Cookware,SEG-04,30,1.0,1.0
2022-06-30,WS-CI-001,WS,Cookware,SEG-07,25,1.0,1.0
2022-07-01,WS-CI-001,WS,Cookware,SEG-07,35,1.0,1.0
2022-07-02,WS-CI-001,WS,Cookware,SEG-10,43,1.0,1.0
2022-07-03,WS-CI-001,WS,Cookware,SEG-01,38,1.0,1.0
2022-07-04,WS-CI-001,WS,Cookware,SEG-04,29,1.0,1.0
2022-07-05,WS-CI-001,WS,Cookware,SEG-03,32,1.0,1.0
2022-07-06,WS-CI-001,WS,Cookware,SEG-09,28,1.0,1.0
2022-07-07,WS-CI-001,WS,Cookware,SEG-03,33,1.0,1.0
2022-07-08,WS-CI-001,WS,Cookware,SEG-02,37,1.0,1.0
2022-07-09,WS-CI-001,WS,Cookware,SEG-04,40,1.0,1.0
2022-07-10,WS-CI-001,WS,Cookware,SEG-04,34,1.0,1.0
2022-07-11,WS-CI-001,WS,Cookware,SEG-03,30,1.0,1.0
2022-07-12,WS-CI-001,WS,Cookware,SEG-03,27,1.0,1.0
2022-07-13,WS-CI-001,WS,Cookware,SEG-09,24,1.0,1.0
2022-07-14,WS-CI-001,WS,Cookware,SEG-04,30,1.0,1.0
2022-07-15,WS-CI-001,WS,Cookware,SEG-09,37,1.0,1.0
2022-07-16,WS-CI-001,WS,Cookware,SEG-05,38,1.0,1.0
2022-07-17,WS-CI-001,WS,Cookware,SEG-01,42,1.0,1.0
2022-07-18,WS-CI-001,WS,Cookware,SEG-10,26,1.0,1.0
2022-07-19,WS-CI-001,WS,Cookware,SEG-08,29,1.0,1.0
2022-07-20,WS-CI-001,WS,Cookware,SEG-10,31,1.0,1.0
2022-07-21,WS-CI-001,WS,Cookware,SEG-09,28,1.0,1.0
2022-07-22,WS-CI-001,WS,Cookware,SEG-09,33,1.0,1.0
2022-07-23,WS-CI-001,WS,Cookware,SEG-02,42,1.0,1.0
2022-07-24,WS-CI-001,WS,Cookware,SEG-05,37,1.0,1.0
2022-07-25,WS-CI-001,WS,Cookware,SEG-02,25,1.0,1.0
2022-07-26,WS-CI-001,WS,Cookware,SEG-04,25,1.0,1.0
2022-07-27,WS-CI-001,WS,Cookware,SEG-01,27,1.0,1.0
2022-07-28,WS-CI-001,WS,Cookware,SEG-04,25,1.0,1.0
2022-07-29,WS-CI-001,WS,Cookware,SEG-10,32,1.0,1.0
2022-07-30,WS-CI-001,WS,Cookware,SEG-03,35,1.0,1.0
2022-07-31,WS-CI-001,WS,Cookware,SEG-08,35,1.0,1.0
2022-08-01,WS-CI-001,WS,Cookware,SEG-04,29,1.0,1.0
2022-08-02,WS-CI-001,WS,Cookware,SEG-04,28,1.0,1.0
2022-08-03,WS-CI-001,WS,Cookware,SEG-10,27,1.0,1.0
2022-08-04,WS-CI-001,WS,Cookware,SEG-10,30,1.0,1.0
2022-08-05,WS-CI-001,WS,Cookware,SEG-05,34,1.0,1.0
2022-08-06,WS-CI-001,WS,Cookware,SEG-07,42,1.0,1.0
2022-08-07,WS-CI-001,WS,Cookware,SEG-02,39,1.0,1.0
2022-08-08,WS-CI-001,WS,Cookware,SEG-03,32,1.0,1.0
2022-08-09,WS-CI-001,WS,Cookware,SEG-10,34,1.0,1.0
2022-08-10,WS-CI-001,WS,Cookware,SEG-06,28,1.0,1.0
2022-08-11,WS-CI-001,WS,Cookware,SEG-05,34,1.0,1.0
2022-08-12,WS-CI-001,WS,Cookware,SEG-07,34,1.0,1.0
2022-08-13,WS-CI-001,WS,Cookware,SEG-01,39,1.0,1.0
2022-08-14,WS-CI-001,WS,Cookware,SEG-06,35,1.0,1.0
2022-08-15,WS-CI-001,WS,Cookware,SEG-05,34,1.0,1.0
2022-08-16,WS-CI-001,WS,Cookware,SEG-09,31,1.0,1.0
2022-08-17,WS-CI-001,WS,Cookware,SEG-02,28,1.0,1.0
2022-08-18,WS-CI-001,WS,Cookware,SEG-10,31,1.0,1.0
2022-08-19,WS-CI-001,WS,Cookware,SEG-01,30,1.0,1.0
2022-08-20,WS-CI-001,WS,Cookware,SEG-02,34,1.0,1.0
2022-08-21,WS-CI-001,WS,Cookware,SEG-06,40,1.0,1.0
2022-08-22,WS-CI-001,WS,Cookware,SEG-07,30,1.0,1.0
2022-08-23,WS-CI-001,WS,Cookware,SEG-03,29,1.0,1.0
2022-08-24,WS-CI-001,WS,Cookware,SEG-02,25,1.0,1.0
2022-08-25,WS-CI-001,WS,Cookware,SEG-09,32,1.0,1.0
2022-08-26,WS-CI-001,WS,Cookware,SEG-03,29,1.0,1.0
2022-08-27,WS-CI-001,WS,Cookware,SEG-06,35,1.0,1.0
2022-08-28,WS-CI-001,WS,Cookware,SEG-06,40,1.0,1.0
2022-08-29,WS-CI-001,WS,Cookware,SEG-04,24,1.0,1.0
2022-08-30,WS-CI-001,WS,Cookware,SEG-06,28,1.0,1.0
2022-08-31,WS-CI-001,WS,Cookware,SEG-05,27,1.0,1.0
2022-09-01,WS-CI-001,WS,Cookware,SEG-10,27,1.0,1.0
2022-09-02,WS-CI-001,WS,Cookware,SEG-02,32,1.0,1.0
2022-09-03,WS-CI-001,WS,Cookware,SEG-07,36,1.0,1.0
2022-09-04,WS-CI-001,WS,Cookware,SEG-03,40,1.0,1.0
2022-09-05,WS-CI-001,WS,Cookware,SEG-04,34,1.0,1.0
2022-09-06,WS-CI-001,WS,Cookware,SEG-07,26,1.0,1.0
2022-09-07,WS-CI-001,WS,Cookware,SEG-03,28,1.0,1.0
2022-09-08,WS-CI-001,WS,Cookware,SEG-03,25,1.0,1.0
2022-09-09,WS-CI-001,WS,Cookware,SEG-07,36,1.0,1.0
2022-09-10,WS-CI-001,WS,Cookware,SEG-01,42,1.0,1.0
2022-09-11,WS-CI-001,WS,Cookware,SEG-04,35,1.0,1.0
2022-09-12,WS-CI-001,WS,Cookware,SEG-10,30,1.0,1.0
2022-09-13,WS-CI-001,WS,Cookware,SEG-10,27,1.0,1.0
2022-09-14,WS-CI-001,WS,Cookware,SEG-01,24,1.0,1.0
2022-09-15,WS-CI-001,WS,Cookware,SEG-02,32,1.0,1.0
2022-09-16,WS-CI-001,WS,Cookware,SEG-03,31,1.0,1.0
2022-09-17,WS-CI-001,WS,Cookware,SEG-10,37,1.0,1.0
2022-09-18,WS-CI-001,WS,Cookware,SEG-09,36,1.0,1.0
2022-09-19,WS-CI-001,WS,Cookware,SEG-09,32,1.0,1.0
2022-09-20,WS-CI-001,WS,Cookware,SEG-04,26,1.0,1.0
2022-09-21,WS-CI-001,WS,Cookware,SEG-02,23,1.0,1.0
2022-09-22,WS-CI-001,WS,Cookware,SEG-08,26,1.0,1.0
2022-09-23,WS-CI-001,WS,Cookware,SEG-07,34,1.0,1.0
2022-09-24,WS-CI-001,WS,Cookware,SEG-06,46,1.0,1.0
2022-09-25,WS-CI-001,WS,Cookware,SEG-10,32,1.0,1.0
2022-09-26,WS-CI-001,WS,Cookware,SEG-06,27,1.0,1.0
2022-09-27,WS-CI-001,WS,Cookware,SEG-01,24,1.0,1.0
2022-09-28,WS-CI-001,WS,Cookware,SEG-08,23,1.0,1.0
2022-09-29,WS-CI-001,WS,Cookware,SEG-03,31,1.0,1.0
2022-09-30,WS-CI-001,WS,Cookware,SEG-06,37,1.0,1.0
2022-10-01,WS-CI-001,WS,Cookware,SEG-10,51,1.3,1.0
2022-10-02,WS-CI-001,WS,Cookware,SEG-02,45,1.3,1.0
2022-10-03,WS-CI-001,WS,Cookware,SEG-01,45,1.3,1.0
2022-10-04,WS-CI-001,WS,Cookware,SEG-01,36,1.3,1.0
2022-10-05,WS-CI-001,WS,Cookware,SEG-05,38,1.3,1.0
2022-10-06,WS-CI-001,WS,Cookware,SEG-03,36,1.3,1.0
2022-10-07,WS-CI-001,WS,Cookware,SEG-06,43,1.3,1.0
2022-10-08,WS-CI-001,WS,Cookware,SEG-07,46,1.3,1.0
2022-10-09,WS-CI-001,WS,Cookware,SEG-02,49,1.3,1.0
2022-10-10,WS-CI-001,WS,Cookware,SEG-06,40,1.3,1.0
2022-10-11,WS-CI-001,WS,Cookware,SEG-03,33,1.3,1.0
2022-10-12,WS-CI-001,WS,Cookware,SEG-05,33,1.3,1.0
2022-10-13,WS-CI-001,WS,Cookware,SEG-09,42,1.3,1.0
2022-10-14,WS-CI-001,WS,Cookware,SEG-08,50,1.3,1.0
2022-10-15,WS-CI-001,WS,Cookware,SEG-01,50,1.3,1.0
2022-10-16,WS-CI-001,WS,Cookware,SEG-04,47,1.3,1.0
2022-10-17,WS-CI-001,WS,Cookware,SEG-03,40,1.3,1.0
2022-10-18,WS-CI-001,WS,Cookware,SEG-01,36,1.3,1.0
2022-10-19,WS-CI-001,WS,Cookware,SEG-08,30,1.3,1.0
2022-10-20,WS-CI-001,WS,Cookware,SEG-06,38,1.3,1.0
2022-10-21,WS-CI-001,WS,Cookware,SEG-03,36,1.3,1.0
2022-10-22,WS-CI-001,WS,Cookware,SEG-07,48,1.3,1.0
2022-10-23,WS-CI-001,WS,Cookware,SEG-05,49,1.3,1.0
2022-10-24,WS-CI-001,WS,Cookware,SEG-04,41,1.3,1.0
2022-10-25,WS-CI-001,WS,Cookware,SEG-01,33,1.3,1.0
2022-10-26,WS-CI-001,WS,Cookware,SEG-01,34,1.3,1.0
2022-10-27,WS-CI-001,WS,Cookware,SEG-09,36,1.3,1.027
2022-10-28,WS-CI-001,WS,Cookware,SEG-09,44,1.3,1.032
2022-10-29,WS-CI-001,WS,Cookware,SEG-05,52,1.3,1.037
2022-10-30,WS-CI-001,WS,Cookware,SEG-08,51,1.3,1.042
2022-10-31,WS-CI-001,WS,Cookware,SEG-06,39,1.3,1.049
2022-11-01,WS-CI-001,WS,Cookware,SEG-02,53,1.8,1.056
2022-11-02,WS-CI-001,WS,Cookware,SEG-02,54,1.8,1.065
2022-11-03,WS-CI-001,WS,Cookware,SEG-03,56,1.8,1.075
2022-11-04,WS-CI-001,WS,Cookware,SEG-09,65,1.8,1.114
2022-11-05,WS-CI-001,WS,Cookware,SEG-08,81,1.8,1.133
2022-11-06,WS-CI-001,WS,Cookware,SEG-09,79,1.8,1.155
2022-11-07,WS-CI-001,WS,Cookware,SEG-09,68,1.8,1.181
2022-11-08,WS-CI-001,WS,Cookware,SEG-02,67,1.8,1.211
2022-11-09,WS-CI-001,WS,Cookware,SEG-03,56,1.8,1.247
2022-11-10,WS-CI-001,WS,Cookware,SEG-01,64,1.8,1.289
2022-11-11,WS-CI-001,WS,Cookware,SEG-08,69,1.8,1.338
2022-11-12,WS-CI-001,WS,Cookware,SEG-09,105,1.8,1.396
2022-11-13,WS-CI-001,WS,Cookware,SEG-04,92,1.8,1.464
2022-11-14,WS-CI-001,WS,Cookware,SEG-06,86,1.8,1.572
2022-11-15,WS-CI-001,WS,Cookware,SEG-02,77,1.8,1.675
2022-11-16,WS-CI-001,WS,Cookware,SEG-10,85,1.8,1.797
2022-11-17,WS-CI-001,WS,Cookware,SEG-09,109,1.8,1.943
2022-11-18,WS-CI-001,WS,Cookware,SEG-10,133,1.8,2.118
2022-11-19,WS-CI-001,WS,Cookware,SEG-08,162,1.8,2.327
2022-11-20,WS-CI-001,WS,Cookware,SEG-09,179,1.8,2.606
2022-11-21,WS-CI-001,WS,Cookware,SEG-01,167,1.8,2.911
2022-11-22,WS-CI-001,WS,Cookware,SEG-07,154,1.8,3.279
2022-11-23,WS-CI-001,WS,Cookware,SEG-03,160,1.8,3.723
2022-11-24,WS-CI-001,WS,Cookware,SEG-10,203,1.8,4.262
2022-11-25,WS-CI-001,WS,Cookware,SEG-08,161,1.8,3.031
2022-11-26,WS-CI-001,WS,Cookware,SEG-09,124,1.8,1.621
2022-11-27,WS-CI-001,WS,Cookware,SEG-08,144,1.8,2.013
2022-11-28,WS-CI-001,WS,Cookware,SEG-03,151,1.8,2.478
2022-11-29,WS-CI-001,WS,Cookware,SEG-08,35,1.8,0.862
2022-11-30,WS-CI-001,WS,Cookware,SEG-01,51,1.8,0.966
2022-12-01,WS-CI-001,WS,Cookware,SEG-09,89,2.5,1.056
2022-12-02,WS-CI-001,WS,Cookware,SEG-09,100,2.5,1.108
2022-12-03,WS-CI-001,WS,Cookware,SEG-02,91,2.5,1.121
2022-12-04,WS-CI-001,WS,Cookware,SEG-08,117,2.5,1.136
2022-12-05,WS-CI-001,WS,Cookware,SEG-04,87,2.5,1.153
2022-12-06,WS-CI-001,WS,Cookware,SEG-03,78,2.5,1.171
2022-12-07,WS-CI-001,WS,Cookware,SEG-08,83,2.5,1.192
2022-12-08,WS-CI-001,WS,Cookware,SEG-02,79,2.5,1.215
2022-12-09,WS-CI-001,WS,Cookware,SEG-01,102,2.5,1.241
2022-12-10,WS-CI-001,WS,Cookware,SEG-02,140,2.5,1.27
2022-12-11,WS-CI-001,WS,Cookware,SEG-03,123,2.5,1.303
2022-12-12,WS-CI-001,WS,Cookware,SEG-09,101,2.5,1.34
2022-12-13,WS-CI-001,WS,Cookware,SEG-10,94,2.5,1.381
2022-12-14,WS-CI-001,WS,Cookware,SEG-03,87,2.5,1.427
2022-12-15,WS-CI-001,WS,Cookware,SEG-06,104,2.5,1.478
2022-12-16,WS-CI-001,WS,Cookware,SEG-04,110,2.5,1.536
2022-12-17,WS-CI-001,WS,Cookware,SEG-10,169,2.5,1.601
2022-12-18,WS-CI-001,WS,Cookware,SEG-05,126,2.5,1.701
2022-12-19,WS-CI-001,WS,Cookware,SEG-10,144,2.5,1.792
2022-12-20,WS-CI-001,WS,Cookware,SEG-01,138,2.5,1.896
2022-12-21,WS-CI-001,WS,Cookware,SEG-10,150,2.5,2.014
2022-12-22,WS-CI-001,WS,Cookware,SEG-02,154,2.5,2.151
2022-12-23,WS-CI-001,WS,Cookware,SEG-10,204,2.5,2.308
